tweet,label,source,label_id
Twofold increase in mortality among coronavirus patients with #hypertension. https://t.co/ENlBNtdZbL,real,sourya,1
_There is a vaccine for COVID-19 that has been tried and released in Russia._,fake,sourya,0
The other number that jumps off the page is New York's testing ramp. But it's actually 4th in per-capita testing behind Washington Maine and New Mexico. https://t.co/HmeRyEjyrV,real,sourya,1
RT @CDCDirector: .@JAMA_current’s Dr. Bauchner and I discuss strategies to fight #COVID19 vaccines monoclonal antibodies convalescent ti…,real,sourya,1
There's a lot of interest in Georgia. Their testing numbers are way down since May 27 when they pulled antibody tests out. But that doesn't seem like a full explanation. As the tests have swung down cases have been steady so the positive rate has shot up. https://t.co/Jn7UNgnCRp,real,sourya,1
" A news clipping attributed to Hindi daily Dainik Jagran stating that coronavirus was found in poultry in Bihar, India.",fake,Gautamshahi,0
China exports masks infected with COVID-19.,fake,sourya,0
Influenza and coronavirus vaccines are more likely to cause upper respiratory tract infections. All COVID-19 tests shows positive result.,fake,sourya,0
This photo has circulated online since at least 2014 -- years before the COVID-19 pandemic | AFP Fact Check,fake,Gautamshahi,0
How did Alaska test more per capita than any other state &amp; have the nation’s lowest COVID deaths per capita? The state contracted with a local manufacturer to 3D print testing swabs and deploy rapid tests that they processed in-state. @WSJ https://t.co/MwBRG8kWiX,real,sourya,1
Right now our model shows that: 📉5 states have reduced risk in re-opening 19 have moderate risk in re-opening 📈26 have elevated risk in re-opening. Find out more about your state and county at https://t.co/DYojLfjhyd. https://t.co/XiXeXDCCG5,real,sourya,1
 Authorities in the Philippines seize fake cigarettes that were spreading coronavirus.,fake,Gautamshahi,0
"India : Azim Premji Donates over 50,000 Crore to Charity Currently this field work is spread across Karnataka, Uttarakhand, Rajasthan, Chhattisgarh, Puducherry, Telangana, and Madhya Pradesh, along with some work in the north-eastern states of India.",fake,sourya,0
" Vodacom is offering Tsh80,000 to M-Pesa users as COVID-19 relief funds.",fake,Gautamshahi,0
PolitiFact | Laura Ingraham wrong about 'no real scientific basis' for social distancing,fake,Gautamshahi,0
"NEWS! America entirely Coronavirus-free within 40 miles of Chuck Norris, study shows https://t.co/K6XIG3wBaF https://t.co/mO0ksZk1ZG",fake,sourya,0
Sadly we had some historical data adjustments come in right after we pulled the numbers for these tweets. They nudged deaths up pushing the 7-day average back over 500. Here's what the data like now: https://t.co/xUbNxLzYNm https://t.co/tATgQDL6l3,real,sourya,1
Says Nancy Pelosi???s ???daughter is on the board of the Kennedy Center so that???s why it was so important to send them all that money.??�,fake,sourya,0
... and New Jersey's infection rate has dropped to 0.82 and has maintained a rate below 1 since mid-May. Meaning each person is infecting less than one other person and the total number of current cases in New Jersey is shrinking. https://t.co/D1ZoPbjYBy https://t.co/RoAjwP9L5W,real,sourya,1
#IndiaFightsCorona: A total of 1172 deaths have been registered in the past 24 hours. 32% of deaths reported yesterday are from Maharashtra with 380 deaths followed by Karnataka with 128 deaths and Tamil Nadu with 78 deaths. Details : https://t.co/3qjaXVOvyn #StaySafe https://t.co/FSdGSiPDmP,real,sourya,1
One reason is supply constraints which are hard to pin down but definitely a real factor. Also many labs are taking up to a week to return tests so our quantitative view here is likely considerably lagging the underlying reality.,real,sourya,1
On the other end of the country South Carolina is showing a clear trend of increasing numbers of COVID deaths. https://t.co/CYxgFrOx3G,real,sourya,1
They have been in self-isolation since that case was notified.⁣ ⁣ The second is a person who has travelled back from overseas so is an imported case. ⁣ ⁣ Today’s cases bring New Zealand’s combined total of confirmed and probable COVID-19 cases to 1494.⁣,real,sourya,1
WEEKLY UPDATE: #COVID19 #Coronavirus ➡️Short-term forecasts of COVID-19 deaths in multiple countries 🔰Read full report here: https://t.co/cTwAd9ZwTS @sangeeta0312 @PNouvellet @krisparag1 @neil_ferguson https://t.co/ZLEkWIgTCV,real,sourya,1
Goodnight this is where the US stands now :: 🏠✔️Stay At Home: 37 States ....🚶‍♀️Social Distancing: 11 States 👀 Limited Intervention: 1 State,real,sourya,1
A video of dead bodies in black bags allegedly from hospitals in Madrid Barcelona or New York.,fake,sourya,0
RT @jesus_jimz: Some good news: The infection rate of COVID-19 in Dallas County is the lowest it has been since cases were first reported h…,real,sourya,1
Who can get tested for #COVID19Nigeria? Testing is conducted for 3 categories of people presenting with #COVID19 symptoms 1. Contacts of confirmed cases 2. Residents in areas of moderate-high prevalence of #COVID19 3. Recent returnees #TakeResponsibility https://t.co/0RarygXC94,real,sourya,1
At this rate India is slated to overtake #USA in testing.,real,sourya,1
